file,declared_language,format,objective_fit,status,blocking_findings,next_action
01_Feed_Instagram_Facebook_1x1/a7_en_feed-1x1_dia-magico-familia.png,en,1x1,guest,REJECT,"castelo associável a parque; logo incorporado não validado","recriar com atração genérica e logo oficial"
01_Feed_Instagram_Facebook_1x1/a7_en_feed-1x1_dirty-clothes-we-got-you.png,en,1x1,guest,REWORK_GUEST,"claim Orlando's #1 sem evidência; logo incorporado; sem previews","remover ranking e refazer no master seguro"
01_Feed_Instagram_Facebook_1x1/a7_en_feed-1x1_fresh-laundry-in-orlando.png,en,1x1,guest,REWORK_GUEST,"logo incorporado; sem preço/mínimo e sem previews","refazer com oferta oficial e logo oficial"
marketing/meta-ads/archive/material-antigo/2026-08-17-valores-desatualizados/feed-1x1/a7_en_feed-1x1_your-time-is-valuable.png,en,1x1,guest,ARCHIVED_OLD_PRICE,"US$3.00/lb incorreto; free em vez de included; logo incorporado","manter apenas como histórico; não publicar"
01_Feed_Instagram_Facebook_1x1/a7_es_feed-1x1_dia-magico-familia.png,es,1x1,guest,REJECT,"castelo associável a parque; logo incorporado não validado","recriar com atração genérica e logo oficial"
01_Feed_Instagram_Facebook_1x1/a7_es_feed-1x1_roupa-limpa-em-orlando.png,es,1x1,guest,REWORK_GUEST,"logo incorporado; sem preço/mínimo e sem previews","refazer e revisar espanhol"
marketing/meta-ads/archive/material-antigo/2026-08-17-valores-desatualizados/feed-1x1/a7_es_feed-1x1_tu-tiempo-es-valioso.png,es,1x1,guest,ARCHIVED_OLD_PRICE,"US$3.00/lb incorreto; free em vez de included; logo incorporado","manter apenas como histórico; não publicar"
01_Feed_Instagram_Facebook_1x1/a7_he_feed-1x1_dia-magico-familia.png,he,1x1,guest,REJECT,"castelo associável a parque; idioma sem revisão humana; logo incorporado","recriar sem propriedade de terceiros e revisar hebraico"
01_Feed_Instagram_Facebook_1x1/a7_he_feed-1x1_roupa-limpa-em-orlando.png,he,1x1,guest,REWORK_GUEST,"idioma sem revisão humana; logo incorporado; sem previews","refazer e obter revisão humana de hebraico"
01_Feed_Instagram_Facebook_1x1/a7_he_feed-1x1_roupa-suja-nos-temos-a-solucao.png,he,1x1,guest,REJECT,"arquivo declarado he contém texto em português e castelo associável a parque","descartar arte e recriar no idioma correto"
marketing/meta-ads/archive/material-antigo/2026-08-17-valores-desatualizados/feed-1x1/a7_he_feed-1x1_tempo-valioso.png,he,1x1,guest,ARCHIVED_OLD_PRICE,"US$3.00/lb incorreto; idioma sem revisão humana; logo incorporado","manter apenas como histórico; não publicar"
01_Feed_Instagram_Facebook_1x1/a7_pt_feed-1x1_deixe-a-lavanderia-com-a-gente.png,pt,1x1,guest,REWORK_GUEST,"arquivo declarado pt contém texto em inglês; logo incorporado","renomear/refazer em português e aplicar oferta oficial"
01_Feed_Instagram_Facebook_1x1/a7_pt_feed-1x1_produto-servico-hotel.png,pt,1x1,guest,REWORK_GUEST,"arquivo declarado pt contém texto em espanhol; logo incorporado","renomear/refazer em português e revisar copy"
01_Feed_Instagram_Facebook_1x1/a7_pt_feed-1x1_roupa-limpa-em-orlando.png,pt,1x1,guest,REWORK_GUEST,"logo incorporado; sem preço/mínimo e sem previews","refazer com oferta oficial e logo oficial"
01_Feed_Instagram_Facebook_1x1/a7_pt_feed-1x1_roupa-suja-a-gente-resolve.png,pt,1x1,guest,REWORK_GUEST,"logo incorporado; sem preço/mínimo e sem previews","refazer com oferta oficial e CTA WhatsApp"
marketing/meta-ads/archive/material-antigo/2026-08-17-valores-desatualizados/feed-1x1/a7_pt_feed-1x1_seu-tempo-e-valioso.png,pt,1x1,guest,ARCHIVED_OLD_PRICE,"US$3.00/lb incorreto; free em vez de included; logo incorporado","manter apenas como histórico; não publicar"
02_Stories_Reels_Instagram_Facebook_9x16/a7_en_story-reel-9x16_fresh-laundry-in-orlando.png,en,9x16,guest,REWORK_GUEST,"conteúdo crítico fora da safe zone; logo incorporado; sem previews","refazer em 1080x1920 com conteúdo em y420-1500"
marketing/meta-ads/archive/material-antigo/2026-08-17-valores-desatualizados/story-reel-9x16/a7_en_story-reel-9x16_your-time-is-valuable.png,en,9x16,guest,ARCHIVED_OLD_PRICE,"US$3.00/lb incorreto; conteúdo fora da safe zone; free em vez de included","manter apenas como histórico; não publicar"
02_Stories_Reels_Instagram_Facebook_9x16/a7_es_story-reel-9x16_roupa-limpa-em-orlando.png,es,9x16,guest,REWORK_GUEST,"conteúdo crítico fora da safe zone; logo incorporado; sem previews","refazer master vertical e revisar espanhol"
