URL	Role	Target Intent	Funnel	Indexed 2026-08-28	GSC Clicks 3mo	GSC Impressions 3mo	GSC CTR	GSC Position	Incoming Internal Links	GA4 Sessions 90d	Qualified Leads	Attributed Revenue	Current Title	Recommended Title	Recommended H1	Primary Content Action	Required Inlinks	Required Outlinks	Schema Owner	Primary CTA	Primary KPI	Priority	Governance	Status	Source/Notes
/	Entity + acquisition distributor	guest laundry pickup Orlando; hotel and Airbnb laundry	BOFU	Yes	46	2019	2.3%	20.4	92	236	DATA REQUIRED	NOT RELIABLE	Guest Laundry Pickup in Orlando | Hotels & Airbnbs | A7 Laundry	KEEP CURRENT	Enjoy Orlando. We handle the laundry.	Keep positioning; add concise pickup/delivery-only category clarification and stronger Core 15 navigation	Money page; pricing; service areas; About	Money page; pricing; service areas; airport; hotel; I-Drive; same-day	WebSite + WebPage + LocalBusiness entity reference	Check pickup availability	Qualified leads and orders from homepage	P1	Canonical homepage; do not turn it into a generic keyword list	Planned	GSC page metrics; GA4 all-channel landing sessions
/laundry-pickup-delivery-orlando	Primary money page	laundry pickup and delivery Orlando for travelers	BOFU	Yes	DATA REQUIRED	DATA REQUIRED	DATA REQUIRED	DATA REQUIRED	86	234	DATA REQUIRED	NOT RELIABLE	Laundry Pickup & Delivery Orlando for Travelers | A7	KEEP CURRENT	Laundry pickup in Orlando. Your plans keep moving.	Preserve validated page; add structured order path, no-walk-in clarification and objections based on real leads	Homepage; pricing; service areas; all priority guides	Pricing; service areas; order; About; hotel; airport	Service + Offer + FAQPage + BreadcrumbList	Check availability / start order	Qualified lead rate; order rate; revenue per landing session	P0	Sole owner of generic transactional pickup/delivery intent	Planned	GA4 all-channel landing sessions; GSC page row below top 10 requires export
/plans	Pricing and estimator hub	Orlando laundry prices; wash and fold cost	MOFU/BOFU	Yes	DATA REQUIRED	DATA REQUIRED	DATA REQUIRED	DATA REQUIRED	68	11	DATA REQUIRED	NOT RELIABLE	Orlando Laundry Service Prices & Weight Estimator | A7	KEEP CURRENT	Orlando Laundry Prices & Load Estimator	Replace multilingual H1 with one English owner; keep language support below; expose assumptions and send estimate into tracked order/WhatsApp	Homepage; money page; cost guide; comparison guides	Money page; order; service areas; service terms	WebPage + Service + Offer + FAQPage	Estimate my order / check availability	Estimator-to-qualified-lead rate	P1	Preserve /plans; assess /pricing only through a migration plan	Planned	Current source canonical is self-referencing; old inventory row was stale
/service-areas	Local qualification hub	A7 Laundry service areas; Orlando pickup coverage	MOFU/BOFU	Yes	DATA REQUIRED	DATA REQUIRED	DATA REQUIRED	DATA REQUIRED	71	9	DATA REQUIRED	NOT RELIABLE	Laundry Pickup & Delivery Service Areas in Orlando | A7 Laundry	KEEP CURRENT	Where We Pick Up & Deliver in Orlando	Add verified area/ZIP qualification, explicit SAB status, property handoff rules and links only to proven area owners	Homepage; money page; all local pages	Money page; order; airport; hotel; I-Drive; Disney	CollectionPage + BreadcrumbList + LocalBusiness areaServed reference	Check my location	Location-check to qualified-lead rate	P1	No automatic coverage claim; no fake city pages	Planned	GSC indexed; GA4 all-channel landing sessions
/about	Entity and trust owner	who is A7 Laundry Orlando; how the service works	MOFU	No	0	0	0.0%	DATA REQUIRED	2	DATA REQUIRED	DATA REQUIRED	NOT RELIABLE	About A7 Laundry Orlando | Guest Laundry Pickup & Delivery	KEEP CURRENT	Guest laundry built around your Orlando stay.	Add named operator only after approval, verifiable process, real work images, review source/date and links to policies	Homepage; money page; footer; service areas	Money page; service areas; pricing; policies; Google profile	AboutPage + LocalBusiness entity reference + BreadcrumbList	Verify service / check availability	Indexation; assisted qualified leads	P1	Do not expose a private address; owner approval required for named profile	Planned	Discovered-not-indexed; 2 inlinks
/blog/laundry-orlando-airport	Priority local acquisition page	laundry pickup near Orlando Airport MCO	BOFU	No	0	0	0.0%	DATA REQUIRED	1	DATA REQUIRED	DATA REQUIRED	NOT RELIABLE	Laundry Pickup & Delivery Near Orlando Airport (MCO) — Wash & Fold | A7 Laundry	KEEP CURRENT	Laundry Pickup Near Orlando Airport (MCO) for Travelers	Strengthen hotel/flight handoff evidence, needed-by scenarios, service boundaries and unique local proof; remove broad unsupported coverage language	Homepage; money page; service areas; hotel; same-day	Money page; service areas; pricing; order; before-checkout	Article + Service + FAQPage + BreadcrumbList	Check airport-area pickup	Indexed status; qualified airport leads	P1	No airport affiliation; no guaranteed same-day claim	Planned	Query cluster: 73 impressions, position 15.1; page discovered-not-indexed; submitted 2026-08-28
/blog/hotel-laundry-service-orlando	Hotel decision guide	hotel laundry Orlando; hotel pickup procedure	MOFU/BOFU	Yes	DATA REQUIRED	DATA REQUIRED	DATA REQUIRED	DATA REQUIRED	7	DATA REQUIRED	DATA REQUIRED	NOT RELIABLE	Orlando Hotel Laundry Pickup Guide | A7 Laundry	KEEP CURRENT	Hotel laundry pickup: what to confirm before the bag leaves.	Keep current 2026-08-22 rewrite; add real anonymized hotel handoff case and tracked path to structured order	Homepage; money page; service areas; airport; I-Drive	Money page; service areas; pricing; order; before-checkout	Article + Service + FAQPage + BreadcrumbList	Ask about my hotel	Qualified hotel leads; assisted order rate	P1	No hotel partnership implication	Planned	Query cluster: 21 impressions, position 10.6; current page already has strong factual rewrite
/blog/laundry-international-drive-orlando	I-Drive local owner	International Drive hotel laundry pickup	BOFU	Yes	2	183	1.1%	7.2	3	DATA REQUIRED	DATA REQUIRED	NOT RELIABLE	International Drive Hotel Laundry Pickup | A7 Laundry	KEEP CURRENT	Hotel laundry pickup, built around the I-Drive day.	Keep current local rewrite; add plain-language distinction from equipment/leasing/self-service intent and one real corridor scenario	Homepage; money page; service areas; hotel; convention guide	Money page; service areas; pricing; order; hotel guide	Article + Service + FAQPage + BreadcrumbList	Check I-Drive pickup	Qualified CTR; qualified I-Drive leads	P1	No property affiliation; pickup only after confirmation	Planned	Position 7.2 quick win; only 3 inlinks
/blog/laundry-cost-orlando	Pricing/commercial investigation owner	laundry cost Orlando; pickup laundry pricing	MOFU/BOFU	No	0	0	0.0%	DATA REQUIRED	1	DATA REQUIRED	DATA REQUIRED	NOT RELIABLE	How Much Does Laundry Cost in Orlando? 2026 Price Guide | A7 Laundry	KEEP CURRENT	What Laundry Pickup Really Costs in Orlando	Add dated methodology, real order examples, estimator bridge and citations for any external comparison; qualify starting prices/minimum	Homepage; pricing; money page; hotel; comparison guide	Pricing; money page; order; service terms	Article + Service/Offer reference + FAQPage + BreadcrumbList	Estimate my laundry cost	Indexation; estimator starts; qualified leads	P1	No unsourced competitor-price claims	Planned	Discovered-not-indexed; 1 inlink; submitted 2026-08-28
/blog/orlando-laundromat-vs-delivery	Comparison/AEO owner	laundromat vs laundry delivery Orlando	MOFU	Yes	1	239	0.4%	8.1	6	DATA REQUIRED	DATA REQUIRED	NOT RELIABLE	Laundromat vs Laundry Delivery in Orlando: Honest Comparison (2026) | A7 Laundry	KEEP CURRENT	Laundromat vs Laundry Delivery in Orlando: An Honest Comparison	Put answer table above fold; clarify A7 is pickup/delivery with no walk-in; source time/cost assumptions; link to order decision	Homepage; money page; pricing; no-car guide	Money page; pricing; order; service areas	Article + FAQPage + BreadcrumbList	Compare my options / check pickup	Qualified CTR; comparison-to-lead rate	P1	Do not optimize for walk-in laundromat intent as a service	Planned	Position 8.1 with low CTR is a strong opportunity
